system,area
Cs2Nd1Cu1Br6,0.7794
Rb2Tl1Ag1I6,2.064
Rb2Li1Tl1Cl6,1.0014
Cs2Tl1Fe1F6,0.2032
Cs2Tl1Sb1I6,5.9877
Cs2K1Ce1Br6,0.0716
K2Nb1Tl1F6,0.4151
Rb2Tl1Ni1F6,3.0388
Cs2Sc1Hg1Br6,1.2376
K2Ag1As1Br6,6.1151
Rb2Na1Mo1Cl6,0.0741
Cs2Na1In1Br6,0.4891
Rb2Li1Pr1I6,0.3408
K2Na1Sb1I6,2.7436
Rb2Cu1As1F6,4.3188
Cs2Sc1Au1I6,3.2928
Cs2Hg1Bi1Br6,3.0198
Rb2Na1Sc1F6,0.007
Cs1Pb1Cl3,0.8802
K2Hg1Bi1I6,4.9995
Rb2Tl1Bi1F6,0.2089
K2Cu1Au1F6,0.4599
Rb2Ta1Hg1F6,0.2917
Cs1Rb2Ga1Br6,0.1663
Cs2Al1Hg1Br6,1.5571
Cs2Na1Sc1Br6,0.1224
Rb2Tl1V1F6,0.1527
K2Ag1Au1F6,1.0808
Rb2Eu1Ag1Cl6,0.5167
Rb2Nb1Tl1F6,0.3182
K2Tl1Au1Cl6,2.5211
K2Hg1As1I6,6.5626
K1Pb1Br3,2.0322
Rb2Ag1Au1Cl6,1.631
Na2Ce1Cu1Cl6,0.8346
K1Pd1F3,1.6984
Cs2Ag1Bi1F6,0.1618
Rb2Sc1Ag1Br6,0.4975
Cs1Rb2In1Cl6,0.0248
Rb2Mn1Ag1F6,0.846
Cs2Rb1Al1I6,0.3325
Rb2Tl1As1F6,0.5145
Cs2K1Y1I6,0.1073
Na2La1Cu1Cl6,0.5203
K1Co1F3,0.0286
Na2Li1Sb1Cl6,0.1846
Cs2K1Y1Cl6,0.0196
Rb2Ag1As1Br6,6.2125
K2Tl1V1F6,0.1896
Rb2Ce1Cu1Br6,0.7721
Rb2Li1Ta1I6,1.663
Rb2Na1Sb1I6,2.7354
K2Hg1As1Br6,4.2812
Cs2Al1Ag1Br6,0.805
Rb2Tl1Sb1F6,0.8046
K2Ti1Au1F6,1.0298
Rb2Ga1Au1F6,0.2898
Rb2Pr1Cu1Br6,0.786
K2Y1Hg1I6,0.906
Cs2K1Ta1I6,1.2648
K1Pb1Cl3,0.9368
Cs2Al1Hg1F6,0.1321
Cs2Ru1Au1F6,1.404
Na2Y1Cu1F6,0.2239
K2Tl1In1F6,0.0607
Rb2Al1Hg1Br6,1.4966
Rb2Ag1Pd1F6,3.9799
Cs2Na1Mo1F6,0.0304
K2Ag1Mo1Cl6,0.4917
K2Li1Mo1Br6,0.5516
Cs2Tl1Ga1Br6,1.9634
K2Tl1Ga1Br6,2.1076
Cs1K2Al1I6,0.2533
Rb2Ag1Mo1I6,4.0305
Cs2Tl1In1Br6,1.7418
Na2Ir1Au1F6,2.9792
K1Ag1F3,0.4966
K2Cu1Sb1Br6,6.6764
Rb2Cu1Sb1Br6,6.5307
Rb2Li1Sb1Br6,1.2051
K2Tl1As1I6,7.6537
Rb2La1Au1Cl6,0.4879
Cs2K1Al1F6,0.0059
Rb2Li1Ir1F6,0.0831
Cs2Rb1In1Br6,0.1457
Cs2Ta1Hg1F6,0.2056
Rb2Tl1Sb1Br6,3.9494
K2Cu1Mo1Br6,3.0611
K2Tl1Cu1Br6,1.7231
K2Na1Ni1F6,0.5299
Rb2Tl1Ir1F6,0.1849
K2Ti1Hg1F6,0.075
K2Na1Cr1F6,0.02
Rb2Ta1Cu1Cl6,1.2725
K2Sc1Tl1Cl6,0.0653
Cs1Hg1Cl3,1.5215
Rb2Na1Al1Cl6,0.017
Rb2Ce1Ag1Br6,0.3404
Cs1K2Ga1F6,0.0068
Cs2Tl1Hg1I6,3.2783
Rb2Tl1Ga1Cl6,1.0695
Na2Sc1Ag1Cl6,0.1966
K1Rb2Au1Br6,1.2074
Cs2Ga1Cu1Cl6,1.9619
K2Hg1Au1Br6,3.4999
Cs2Li1Sb1Cl6,0.2084
K1Rb2In1F6,0.0074
K2Pr1Cu1Cl6,0.4485
Rb2Li1Mo1F6,0.0312
Na2Li1Bi1F6,0.0249
Cs2Y1Au1Br6,1.049
K2Na1Sc1Cl6,0.0399
Rb2Al1Hg1Cl6,0.8781
K2Tl1Sb1Br6,3.9144
Rb2Bi1Au1Cl6,5.3628
Rb2Y1Au1I6,1.9871
Cs1Yb1F3,0.0068
Cs2Hg1Ir1F6,0.9696
Rb2As1Au1Cl6,6.8189
K2Sc1Ag1F6,0.02
Cs2Rb1As1Br6,0.5402
Rb2Hg1Mo1F6,0.1054
K2Y1Hg1F6,0.1185
Na2Ni1Hg1F6,1.164
Rb2Bi1Au1Br6,7.0232
Cs2Na1Au1F6,0.5237
Rb2Ga1Au1Cl6,1.9347
Rb2Hg1Ir1F6,1.5734
Na2Fe1Ag1F6,2.4851
Rb2Nd1Cu1Cl6,0.4255
Rb2Na1Mo1F6,0.0206
K2In1Ag1Br6,2.1234
Cs2Pr1Cu1Cl6,0.5478
Cs2Tl1Au1Br6,2.2819
Rb2Li1Sb1Cl6,0.1765
K2Tl1Cu1Cl6,2.1985
Cs2Y1Ag1I6,0.7785
K1Rb2As1Cl6,0.1005
K2Li1Ir1F6,0.0953
K2Ag1Au1Br6,2.3162
Cs2Tl1Hg1Br6,2.4323
K1Rb2Tl1Cl6,0.2809
K2Ta1Hg1F6,0.3849
Cs1K2Sb1Cl6,0.1638
Rb2Ga1Hg1I6,2.9569
Na2Hg1As1Cl6,3.0561
Cs2Li1Sb1I6,3.6202
Rb2Nd1Ag1F6,0.038
K2Nd1Ag1Cl6,0.0428
Rb2Li1In1Cl6,0.0473
Na2In1Ag1F6,0.5945
Rb2Tl1Hg1Cl6,1.7651
K2Hg1Bi1Br6,3.1004
K2Tl1Ga1I6,2.131
Cs2Y1Au1F6,0.2481
K2Li1Mo1Cl6,0.1129
Cs2In1Cu1Br6,2.0834
K2Tl1Ag1I6,2.0211
Rb2Ce1Ag1F6,0.1736
Cs2Na1Ru1F6,0.0469
Cs2K1Sc1Br6,0.0772
Cs2Tl1Ag1I6,2.1053
K2Na1In1Cl6,0.0303
K2Li1Sb1Cl6,0.1905
Rb2Li1Mo1I6,2.4023
K2Cr1Ag1F6,0.6892
Rb2Na1Fe1F6,0.0712
Rb2Li1In1F6,0.0081
Cs1Rb2Au1Br6,1.029
Rb2Tl1Au1Br6,2.4243
Cs2Ta1Au1F6,1.4843
Cs2Sb1Au1I6,6.9118
Cs1Rb2As1I6,2.2501
K2Al1Hg1Cl6,0.8461
Cs2Na1Ga1Br6,0.7023
Cs1Rb2Sc1Br6,0.0704
Rb2Na1Co1F6,0.0315
Cs2K1Bi1Br6,0.103
K2Rb1Au1Br6,1.0332
Cs2Ga1Ag1F6,0.032
Rb2Na1Tl1F6,0.0179
Rb2Ga1Ag1Br6,1.9959
K2Ag1Mo1Br6,1.6863
Cs2Tl1As1I6,7.4591
K2Rb1Ta1Cl6,0.2483
Cs2Nd1Ag1F6,0.0154
K2Pr1Ag1I6,0.8743
Na1Mg1F3,0.0046
K2Li1Y1I6,0.2807
Cs2Pr1Cu1Br6,0.8029
Cs1Yb1Cl3,0.0171
Na2In1Ag1Cl6,1.0026
Cs1Rb2Al1I6,0.2553
Cs2Rb1Y1I6,0.0999
Cs2Y1Tl1Br6,0.0642
K2Tl1As1Br6,5.0821
K1Rb2In1Cl6,0.024
Cs1Rb2Ir1F6,0.0196
Cs2Y1Ag1F6,0.0122
Cs2Sb1Au1Br6,6.6266
Rb2Tl1Ru1F6,0.1688
Rb2Li1Ce1Cl6,0.07
Cs2K1In1Br6,0.1842
Cs2K1Ga1Br6,0.3467
Rb2Cu1Mo1I6,4.814
Cs2Sc1Hg1Cl6,0.67
Cs2Y1Tl1I6,0.2309
K2Li1Mn1F6,0.0557
K2Hg1Rh1F6,1.6689
Cs2Ta1Ag1Cl6,0.3147
K1Na2Mo1F6,0.0414
Rb2Ta1Cu1Br6,1.6397
Rb2Li1Ta1Br6,0.3601
Cs2Na1Ta1I6,1.4492
Na2Ta1Hg1F6,0.9922
Cs2In1Ag1I6,1.9404
Rb2Ce1Ag1I6,0.7884
K2Y1Tl1F6,0.0248
Cs2K1Ag1F6,0.8423
Rb2Tl1Pd1F6,3.1072
K2Na1Ga1Br6,0.6441
K2Ga1Hg1Br6,1.3223
K2Sm1Cu1Cl6,0.3294
Cs2K1In1F6,0.0083
K2Mo1Au1F6,0.6848
Na2Ti1Au1F6,2.3794
Cs2Tl1Ag1F6,2.1914
K2Li1Pd1F6,0.1753
K1Na2Nb1F6,0.2694
Rb2Li1Nd1Br6,0.0515
Cs2K1Cr1Cl6,0.1384
K2Li1Nd1I6,0.3923
Cs2In1Au1Br6,2.7767
K2Na1As1Cl6,0.1606
Cs2Sc1Au1Cl6,0.9764
Cs2Tl1In1Cl6,0.8868
Rb2Sc1Au1Br6,1.5723
Rb2Hg1As1Br6,4.1769
Cs2In1Ag1Br6,1.9678
Cs2Rb1Au1Cl6,0.6896
Rb2Hg1Au1Br6,3.4546
Rb2Ga1Ag1I6,2.1319
Rb2Na1Ni1F6,0.4842
Cs2Ag1Mo1Cl6,0.4498
K2Sc1Hg1I6,2.5422
K2La1Ag1Cl6,0.0369
K2Li1In1F6,0.0075
