system,band_gap
K2AlAgF6,3.0675
KRb2ScF6,6.3813
Rb2ScHgBr6,0
Na2HgPdF6,0
K2TlInF6,3.6161
Cs2CuAuCl6,0
Cs2TlCuBr6,0
Cs2AlAgBr6,1.4697
Cs2NaNdF6,6.7399
Rb2HgAsI6,0
Cs2KDyCl6,5.1988
KCaI1.875Br1.125,3.259
Na2VAuF6,0
Rb2NaTlCl6,1.8121
K2VHgF6,0.0039
K2LiRhF6,1.7665
Cs2BiAuBr6,0.4311
K2ScAuF6,1.5837
Rb2AlTlF6,5.3013
Cs2KYI6,3.2816
KRb2DyCl6,4.8552
Cs2AuCoCl6,0.272
K0.375Cs0.625CaI3,3.518
Cs2KMoBr6,1.6085
Rb2YTlF6,4.6661
Cs2LiTaF6,0
Na2LiPdF6,0
K2AgAuCl6,0
K2RbMoCl6,1.6332
K2LiTlCl6,1.5798
Cs2NaHoCl6,5.2906
K2NaCrF6,4.2057
K2CrHgF6,0
Cs2NaPrCl6,4.9676
Na2LiBiCl6,3.5061
Rb2CoAgF6,2.0093
K0.625Cs0.375GeCl3,0.958
K2RbInBr6,2.5232
Cs2CuAuF6,0
Cs2YAgF6,3.3465
Rb2NaCeCl6,3.9696
Na2YCuBr6,1.6712
KRb2LuCl6,4.9104
Rb2NaAsCl6,3.1484
K2NaYI6,3.1299
Cs2LiMoCl6,1.5978
Cs2KScF6,6.8201
Rb2HgAsCl6,0
CsPdCl3,0
K2CuMoCl6,0.7574
K2InAuF6,0.3609
Rb2LiNdCl6,4.8504
Rb2AlHgF6,0
Cs2NaErCl6,5.3424
Cs2AgSbI6,0.4387
K2RbErCl6,4.5391
Cs2CoKCl6,1.157
Rb2NaAuBr6,0
Cs2BiAuCl6,0.9914
Rb2LiSmCl6,4.9187
Cs2YTlI6,3.0866
Rb2NdAgBr6,3.3063
K2NaAsCl6,3.145
K2SbAuCl6,0.351
Rb2DyAgCl6,3.7248
Cs2NaPrBr6,4.1252
K2TlNiF6,0.2858
Rb2CuBiF6,0.9599
Cs2RbTlBr6,1.5133
Rb2NaTlI6,0
